rows	columns	distances	method
20x_PHU_Mock	30x_Q5_Mock	0.082046	perfect
20x_PL_Mock	30x_Q5_Mock	0.101479	perfect
20x_Q5_Mock	30x_Q5_Mock	0.070253	perfect
25x_ACC_Mock	30x_Q5_Mock	0.081479	perfect
25x_K_Mock	30x_Q5_Mock	0.059779	perfect
25x_PHU_Mock	30x_Q5_Mock	0.078533	perfect
25x_PL_Mock	30x_Q5_Mock	0.072861	perfect
25x_Q5_Mock	30x_Q5_Mock	0.07389	perfect
30x_ACC_Mock	30x_Q5_Mock	0.067927	perfect
30x_K_Mock	30x_Q5_Mock	0.075767	perfect
30x_PHU_Mock	30x_Q5_Mock	0.060797	perfect
30x_PL_Mock	30x_Q5_Mock	0.116506	perfect
20x_ACC_Mock	35x_ACC_Mock	0.091133	perfect
20x_K_Mock	35x_ACC_Mock	0.096447	perfect
20x_PHU_Mock	35x_ACC_Mock	0.134114	perfect
20x_PL_Mock	35x_ACC_Mock	0.154899	perfect
20x_Q5_Mock	35x_ACC_Mock	0.121537	perfect
25x_ACC_Mock	35x_ACC_Mock	0.100049	perfect
25x_K_Mock	35x_ACC_Mock	0.093227	perfect
25x_PHU_Mock	35x_ACC_Mock	0.125904	perfect
25x_PL_Mock	35x_ACC_Mock	0.115664	perfect
25x_Q5_Mock	35x_ACC_Mock	0.117496	perfect
30x_ACC_Mock	35x_ACC_Mock	0.097813	perfect
30x_K_Mock	35x_ACC_Mock	0.107169	perfect
30x_PHU_Mock	35x_ACC_Mock	0.075301	perfect
30x_PL_Mock	35x_ACC_Mock	0.094329	perfect
30x_Q5_Mock	35x_ACC_Mock	0.086339	perfect
20x_ACC_Mock	35x_K_Mock	0.126279	perfect
20x_K_Mock	35x_K_Mock	0.089959	perfect
20x_PHU_Mock	35x_K_Mock	0.095969	perfect
20x_PL_Mock	35x_K_Mock	0.116769	perfect
20x_Q5_Mock	35x_K_Mock	0.075324	perfect
25x_ACC_Mock	35x_K_Mock	0.110576	perfect
25x_K_Mock	35x_K_Mock	0.09604	perfect
25x_PHU_Mock	35x_K_Mock	0.112831	perfect
25x_PL_Mock	35x_K_Mock	0.122094	perfect
25x_Q5_Mock	35x_K_Mock	0.075821	perfect
30x_ACC_Mock	35x_K_Mock	0.092629	perfect
30x_K_Mock	35x_K_Mock	0.089747	perfect
30x_PHU_Mock	35x_K_Mock	0.12392	perfect
30x_PL_Mock	35x_K_Mock	0.186244	perfect
30x_Q5_Mock	35x_K_Mock	0.10541	perfect
35x_ACC_Mock	35x_K_Mock	0.157419	perfect
20x_ACC_Mock	35x_PHU_Mock	0.088016	perfect
20x_K_Mock	35x_PHU_Mock	0.083467	perfect
20x_PHU_Mock	35x_PHU_Mock	0.093311	perfect
20x_PL_Mock	35x_PHU_Mock	0.119469	perfect
20x_Q5_Mock	35x_PHU_Mock	0.085201	perfect
25x_ACC_Mock	35x_PHU_Mock	0.080764	perfect
25x_K_Mock	35x_PHU_Mock	0.067046	perfect
25x_PHU_Mock	35x_PHU_Mock	0.09165	perfect
25x_PL_Mock	35x_PHU_Mock	0.085634	perfect
25x_Q5_Mock	35x_PHU_Mock	0.084207	perfect
30x_ACC_Mock	35x_PHU_Mock	0.075436	perfect
30x_K_Mock	35x_PHU_Mock	0.078894	perfect
30x_PHU_Mock	35x_PHU_Mock	0.058699	perfect
30x_PL_Mock	35x_PHU_Mock	0.097663	perfect
30x_Q5_Mock	35x_PHU_Mock	0.061673	perfect
35x_ACC_Mock	35x_PHU_Mock	0.07147	perfect
35x_K_Mock	35x_PHU_Mock	0.12016400000000001	perfect
20x_ACC_Mock	35x_PL_Mock	0.131254	perfect
20x_K_Mock	35x_PL_Mock	0.136076	perfect
20x_PHU_Mock	35x_PL_Mock	0.17339	perfect
20x_PL_Mock	35x_PL_Mock	0.191636	perfect
20x_Q5_Mock	35x_PL_Mock	0.167831	perfect
25x_ACC_Mock	35x_PL_Mock	0.145287	perfect
25x_K_Mock	35x_PL_Mock	0.132251	perfect
25x_PHU_Mock	35x_PL_Mock	0.168003	perfect
25x_PL_Mock	35x_PL_Mock	0.144489	perfect
25x_Q5_Mock	35x_PL_Mock	0.163341	perfect
30x_ACC_Mock	35x_PL_Mock	0.134427	perfect
30x_K_Mock	35x_PL_Mock	0.150294	perfect
30x_PHU_Mock	35x_PL_Mock	0.11089	perfect
