rows	columns	distances
20x_PL_DA10029	20x_Q5_DA10040	0.443823
20x_PL_DA10040	20x_Q5_DA10040	0.172124
20x_Q5_DA10001	20x_Q5_DA10040	0.39729
20x_Q5_DA10016	20x_Q5_DA10040	0.685437
20x_Q5_DA10029	20x_Q5_DA10040	0.426605
20x_ACC_DA10040	25x_ACC_DA10001	0.351596
20x_K_DA10001	25x_ACC_DA10001	0.160686
20x_K_DA10040	25x_ACC_DA10001	0.354756
20x_PHU_DA10001	25x_ACC_DA10001	0.155243
20x_PHU_DA10016	25x_ACC_DA10001	0.593104
20x_PHU_DA10029	25x_ACC_DA10001	0.413449
20x_PHU_DA10040	25x_ACC_DA10001	0.384282
20x_PL_DA10001	25x_ACC_DA10001	0.182126
20x_PL_DA10016	25x_ACC_DA10001	0.584786
20x_PL_DA10029	25x_ACC_DA10001	0.434946
20x_PL_DA10040	25x_ACC_DA10001	0.367214
20x_Q5_DA10001	25x_ACC_DA10001	0.17803
20x_Q5_DA10016	25x_ACC_DA10001	0.586474
20x_Q5_DA10029	25x_ACC_DA10001	0.437348
20x_Q5_DA10040	25x_ACC_DA10001	0.402285
20x_ACC_DA10040	25x_ACC_DA10016	0.688479
20x_K_DA10001	25x_ACC_DA10016	0.598805
20x_K_DA10040	25x_ACC_DA10016	0.686094
20x_PHU_DA10001	25x_ACC_DA10016	0.619159
20x_PHU_DA10016	25x_ACC_DA10016	0.157571
20x_PHU_DA10029	25x_ACC_DA10016	0.525564
20x_PHU_DA10040	25x_ACC_DA10016	0.691465
20x_PL_DA10001	25x_ACC_DA10016	0.630079
20x_PL_DA10016	25x_ACC_DA10016	0.141768
20x_PL_DA10029	25x_ACC_DA10016	0.548663
20x_PL_DA10040	25x_ACC_DA10016	0.690489
20x_Q5_DA10001	25x_ACC_DA10016	0.631714
20x_Q5_DA10016	25x_ACC_DA10016	0.145402
20x_Q5_DA10029	25x_ACC_DA10016	0.541019
20x_Q5_DA10040	25x_ACC_DA10016	0.695971
25x_ACC_DA10001	25x_ACC_DA10016	0.599703
20x_ACC_DA10040	25x_ACC_DA10029	0.428633
20x_K_DA10001	25x_ACC_DA10029	0.457687
20x_K_DA10040	25x_ACC_DA10029	0.412671
20x_PHU_DA10001	25x_ACC_DA10029	0.462847
20x_PHU_DA10016	25x_ACC_DA10029	0.467838
20x_PHU_DA10029	25x_ACC_DA10029	0.182319
20x_PHU_DA10040	25x_ACC_DA10029	0.459213
20x_PL_DA10001	25x_ACC_DA10029	0.473277
20x_PL_DA10016	25x_ACC_DA10029	0.468946
20x_PL_DA10029	25x_ACC_DA10029	0.1909
20x_PL_DA10040	25x_ACC_DA10029	0.455951
20x_Q5_DA10001	25x_ACC_DA10029	0.475183
20x_Q5_DA10016	25x_ACC_DA10029	0.45839
20x_Q5_DA10029	25x_ACC_DA10029	0.178121
20x_Q5_DA10040	25x_ACC_DA10029	0.461525
25x_ACC_DA10001	25x_ACC_DA10029	0.434513
25x_ACC_DA10016	25x_ACC_DA10029	0.499722
20x_ACC_DA10040	25x_ACC_DA10040	0.16707
20x_K_DA10001	25x_ACC_DA10040	0.408402
20x_K_DA10040	25x_ACC_DA10040	0.16298
20x_PHU_DA10001	25x_ACC_DA10040	0.380761
20x_PHU_DA10016	25x_ACC_DA10040	0.681422
20x_PHU_DA10029	25x_ACC_DA10040	0.42394
20x_PHU_DA10040	25x_ACC_DA10040	0.182304
20x_PL_DA10001	25x_ACC_DA10040	0.411718
20x_PL_DA10016	25x_ACC_DA10040	0.682371
20x_PL_DA10029	25x_ACC_DA10040	0.429965
20x_PL_DA10040	25x_ACC_DA10040	0.181684
20x_Q5_DA10001	25x_ACC_DA10040	0.388215
20x_Q5_DA10016	25x_ACC_DA10040	0.68057
20x_Q5_DA10029	25x_ACC_DA10040	0.427693
20x_Q5_DA10040	25x_ACC_DA10040	0.18132
25x_ACC_DA10001	25x_ACC_DA10040	0.374877
25x_ACC_DA10016	25x_ACC_DA10040	0.690779
25x_ACC_DA10029	25x_ACC_DA10040	0.428598
20x_ACC_DA10040	25x_K_DA10001	0.380775
20x_K_DA10001	25x_K_DA10001	0.150066
20x_K_DA10040	25x_K_DA10001	0.382425
20x_PHU_DA10001	25x_K_DA10001	0.181454
20x_PHU_DA10016	25x_K_DA10001	0.616071
20x_PHU_DA10029	25x_K_DA10001	0.44761
20x_PHU_DA10040	25x_K_DA10001	0.414618
20x_PL_DA10001	25x_K_DA10001	0.169392
20x_PL_DA10016	25x_K_DA10001	0.606917
20x_PL_DA10029	25x_K_DA10001	0.461491
20x_PL_DA10040	25x_K_DA10001	0.383582
20x_Q5_DA10001	25x_K_DA10001	0.17538
20x_Q5_DA10016	25x_K_DA10001	0.60717
20x_Q5_DA10029	25x_K_DA10001	0.469244
20x_Q5_DA10040	25x_K_DA10001	0.433099
25x_ACC_DA10001	25x_K_DA10001	0.17463
25x_ACC_DA10016	25x_K_DA10001	0.618999
25x_ACC_DA10029	25x_K_DA10001	0.468804
25x_ACC_DA10040	25x_K_DA10001	0.406267
20x_ACC_DA10040	25x_K_DA10016	0.677767
20x_K_DA10001	25x_K_DA10016	0.578337
20x_K_DA10040	25x_K_DA10016	0.670252
20x_PHU_DA10001	25x_K_DA10016	0.603544
20x_PHU_DA10016	25x_K_DA10016	0.200212
20x_PHU_DA10029	25x_K_DA10016	0.512449
20x_PHU_DA10040	25x_K_DA10016	0.682345
20x_PL_DA10001	25x_K_DA10016	0.614618
20x_PL_DA10016	25x_K_DA10016	0.187912
